Question,A,B,C,D,Correct
Hành vi nào sau đây có thể bị truy cứu trách nhiệm hình sự về tội trốn thuế?,Khai sai thông tin trên hồ sơ thuế,Khai thiếu số tiền thuế phải nộp,Trốn thuế với số tiền lớn hoặc tái phạm nhiều lần,Cả A và B đều đúng,C
Trường hợp nào sau đây không phải nộp phí thẩm định hồ sơ cấp Giấy chứng nhận QSDĐ?,Cấp lại giấy chứng nhận do bị mất,Cấp đổi giấy chứng nhận,Các trường hợp được quy định cụ thể trong nghị quyết của Hội đồng nhân dân cấp tỉnh hoặc các văn bản khác có liên quan,Chứng nhận biến động đất đai,C
Thẩm định hồ sơ,Cấp giấy chứng nhận quyền sử dụng đất,Địa chính,"Cả A, B và C đều đúng",,B
Thu nhập từ thừa kế/quà tặng bất động sản giữa ch a mẹ và con nuôi có được miễn  thuế thu nhập cá nhân không?,Có,Không,Tùy thuộc vào giá trị tài sản,Tùy thuộc vào thời gian sở hữu,A
Thuế suất Thuế GTGT 10% trong kinh doanh bất động sản được tính trên cơ sở nào?,Giá trị hợp đồng chuyển nhượng,Giá trị gia tăng của sản phẩm,Giá trị đất được trừ,Giá trị đất theo bảng giá đất,B
Tiền chậm nộp thuế được tính từ thời điểm nào?,Ngày hết thời hạn nộp thuế,Ngày phát hiện vi phạm,Ngày cơ quan thuế ban hành quyết định,Ngày nộp hồ sơ thuế,A
"Theo Nghị định 10/2022/NĐ-CP, mức lệ phí trước bạ khi mua bán bất động sản là bao nhiêu?",0.5% trên giá tính lệ phí trước bạ,1% trên giá tính lệ phí trước bạ,2% trên giá chuyển nhượng,Tùy thuộc vào giá trị bất động sản,A
Cơ quan nào có thẩm quyền ban hành Bảng giá đất để làm căn cứ tính thuế?,Quốc hội,Bộ Nông nghiệp và Môi trường,Chính phủ,Ủy ban nhân dân cấp tỉnh,D
Hành vi k hai sai giá trị chuyển nhượng bất động sản để trốn thuế được coi là vi phạm hành chính hay hình sự?,Vi phạm hành chính,Vi phạm hình sự,"Cả A và B, tùy thuộc vào mức độ vi phạm và số tiền trốn thuế",Chỉ là vi phạm dân sự,C
"Đối với doanh nghiệp kinh doanh dịch vụ bất động sản (sàn giao dịch), loại thuế chính phải nộp là gì?",Thuế Thu nhập doanh nghiệp và Thuế Giá trị gia tăng,Thuế Thu nhập cá nhân và Thuế Môn bài,Thuế Thu nhập doanh nghiệp và Thuế thu nhập cá nhân,Thuế Giá trị gia tăng và Thuế Môn bài,A
Cá nhân chuyển nhượng bất động sản và cá nhân môi giới bất động sản có cùng một nghĩa vụ thuế TNCN không?,"Có, đều nộp thuế suất 2%","Có, đều nộp thuế suất 10%","Không, nghĩa vụ thuế khác nhau",Tùy thuộc vào giá trị giao dịch,C
Mục đích của việc điều chỉnh giá đất nông nghiệp lên gần bằng giá đất ở trong các khu vực dân cư là gì?,Để tăng thu ngân sách,Để giảm gánh nặng cho người dân,"Để đảm bảo sự công bằng và hợp lý, phù hợp với giá thị trường",Để khuyến khích chuyển đổi đất nông nghiệp,C
"Theo Luật Đất đai 2024, tiền sử dụng đất khi chuyển mục đích SDĐ được tính như thế nào?",Thu theo giá đất do UBND cấp tỉnh ban hành.,Thu theo giá thị trường của thửa đất.,Thu theo giá đất cụ thể do cơ quan nhà nước có thẩm quyền quyết định.,Thu theo khung giá đất của Chính phủ.,C
"Khi một cá nhân bán nhà ở duy nhất tại Việt Nam đã sở hữu được 2 năm, thu nhập này có phải nộp thuế thu nhập cá nhân không?","Có, phải nộp thuế suất 2% trên giá chuyển nhượng.","Có, phải nộp thuế suất 5% trên giá chuyển nhượng.","Không, được miễn thuế thu nhập cá nhân.",Tùy thuộc vào giá trị chuyển nhượng.,C
Trường hợp nào sau đây được miễn Thuế sử dụng đất phi nông nghiệp?,Đất làm nhà ở xã hội.,"Đất của cơ sở thực hiện xã hội hóa trong lĩnh vực y tế, văn hóa.",Đất xây dựng chung cư cao tầng.,Cả A và B đều đúng.,D
"Cá nhân nhận thừa kế một bất động sản có giá trị tính thuế là  20 tỷ đồng,  phải nộp thuế thu nhập cá nhân bao nhiêu? (Giả sử không có các trường hợp miễn giảm)","2,0 tỷ đồng.","1,0 tỷ đồng.",200 triệu đồng.,500 triệu đồng,A
"Mức lệ phí trước bạ khi mua bán bất động sản do hộ gia đình, cá nhân nộp là 0,5%.  Tuy nhiên, trong trường hợp nào thì mức thu này có thể thay đổi?",Không có trường hợp nào.,Có thể thay đổi nếu giá trị bất động sản lớn.,Có thể thay đổi theo quy định của Hội đồng nhân dân cấp tỉnh đối với một số khu vực đặc thù.,Tùy thuộc vào mục đích sử dụng đất.,C
Chi phí nào sau đây được trừ khi tính thu nhập chịu thuế thu nhập doanh nghiệp từ hoạt động chuyển nhượng bất động sản?,"Chi phí bồi thường, giải phóng mặt bằng.",Chi phí đầu tư cơ sở hạ tầng.,"Chi phí quảng cáo, tiếp thị.","Tất cả các chi phí trên nếu có đủ hóa đơn, chứng từ hợp lệ.",D
Một cá nhân bán một căn hộ đã sở hữu được 5 năm nhưng đó là căn hộ thứ hai của họ. Thuế Thu nhập cá nhân phải nộp là bao nhiêu?,Miễn thuế.,2% trên giá chuyển nhượng.,5% trên giá chuyển nhượng.,10% trên thu nhập tính thuế.,B
"Chi phí bồi thường, giải phóng mặt bằng được tính vào giá vốn khi chuyển nhượng bất động sản có bao gồm cả các khoản chi phí liên quan đến việc hỗ trợ người bị thu hồi đất không?","Có, nếu có đầy đủ chứng từ hợp lệ.","Không, các chi phí này là chi phí riêng.",Tùy thuộc vào loại bất động sản.,Chỉ bao gồm chi phí trực tiếp bồi thường đất.,A
Mức phạt chậm nộp thuế được tính trên cơ sở nào?,Số ngày chậm nộp và số tiền thuế chậm nộp.,Số tiền thuế chậm nộp và mức lãi suất ngân hàng.,Số tiền thuế chậm nộp và mức phạt cố định.,Tùy thuộc vào cơ quan thuế.,A
Lệ phí địa chính có thể được miễn hoặc giảm trong một số trường hợp không?,"Không, lệ phí này là bắt buộc.","Có, tùy thuộc vào chính sách của từng địa phương.",Chỉ miễn giảm cho hộ nghèo.,Chỉ miễn giảm cho các dự án của nhà nước.,B
Tiền sử dụng đất được coi là một khoản thuế hay một khoản thu ngân sách nhà nước?,Một loại thuế trực thu.,Một loại lệ phí.,Một khoản thu ngân sách nhà nước.,Cả A và B đều đúng.,C
Cá nhân có thể tự kê khai và nộp thuế Thu nhập cá nhân từ chuyển nhượng BĐS ở đâu?,Tại cơ quan công chứng.,Tại cơ quan thuế.,Tại kho bạc nhà nước.,Cả A và B đều đúng.,B
Các khoản tiền phạt  vi phạm hành chính về thuế có được tính vào chi phí được trừ khi tính thuế Thu nhập doanh nghiệp không?,Có.,Không.,Tùy thuộc vào mức phạt.,Tùy thuộc vào loại vi phạm.,B
"Đâu là một trong những loại phí, lệ phí bắt buộc khi thực hiện công chứng hợp đồng mua bán bất động sản?",Phí công chứng.,Lệ phí địa chính.,Phí thẩm định hồ sơ.,Lệ phí trước bạ.,A
Các chi phí nào sau đây không được tính vào chi phí được trừ khi tính thuế Thu nhập doanh nghiệp từ chuyển nhượng bất động sản của doanh nghiệp?,Chi phí lãi vay.,"Chi phí quảng cáo, tiếp thị.",Chi phí khấu hao tài sản cố định.,"Chi phí không có hóa đơn, chứng từ hợp lệ.",D

=== CHỦ ĐỀ: CĐ9-Luat PCRT 2022 (dap an) ===,-,-,-,-,-
Văn bản pháp luật nào hiện đang là văn bản pháp luật có hiệu lực cao nhất quy định về phòng chống rửa tiền tại Việt Nam?,Nghị định 19/2023/NĐ-CP,"Luật Phòng, chống rửa tiền số 14/2022/QH15",Thông tư 09/2023/TT-NHNN,Bộ luật Hình sự 2015 (sửa đổi 2017),B
"Theo Luật phòng, chống rửa tiền 2022, ""Rửa tiền"" được định nghĩa là gì?",Hành vi che giấu nguồn gốc tài sản hợp pháp.,Hành vi sử dụng tài sản để tài trợ khủng bố.,"Hành vi của tổ chức, cá nhân nhằm hợp pháp hóa nguồn gốc của tài sản do phạm tội mà có.",Hành vi không báo cáo giao dịch đáng ngờ.,C
Mức giao dịch có giá trị lớn phải báo cáo hiện hành theo Quyết định 11/2023/QĐ-TTg là bao nhiêu?,Từ 300 triệu đồng trở lên.,Từ 400 triệu đồng trở lên.,Từ 500 triệu đồng trở lên.,"Không quy định mức cụ thể, tùy thuộc vào đánh giá rủi ro.",B
"Hoạt động nào sau đây trong lĩnh vực bất động sản KHÔNG thuộc đối tượng phải báo cáo phòng, chống rửa tiền theo Luật phòng, chống rửa tiền 2022?",Kinh doanh dịch vụ môi giới BĐS.,"Đầu tư, phát triển dự án BĐS.",Dịch vụ tư vấn BĐS.,Hoạt động của sàn giao dịch BĐS.,C
Doanh nghiệp Kinh doanh bất động sản phải báo cáo giao dịch có giá trị lớn k hi nào?,Khi thực hiện bất kỳ giao dịch bất động sản nào.,Khi giao dịch bằng tiền mặt hoặc ngoại tệ tiền mặt đạt từ 400 triệu VNĐ trở lên trong một ngày.,"Khi giao dịch có dấu hiệu đáng ngờ, bất kể giá trị.",Chỉ khi giao dịch với khách hàng là người nước ngoài.,B
"Dấu hiệu nào sau đây là dấu hiệu đáng ngờ đặc thù trong lĩnh vực bất động sản theo Điều 33 Luật phòng, chống rửa tiền 2022?",Khách hàng thanh toán bằng chuyển khoản ngân hàng.,Khách hàng yêu cầu chiết khấu giá bán.,Giao dịch BĐS thông qua ủy quyền nhưng không có cơ sở pháp lý rõ ràng.,Khách hàng là doanh nghiệp mới thành lập.,C
Thời hạn báo cáo giao dịch đáng ngờ (STR) thông thường là bao lâu kể từ ngày phát sinh giao dịch?,24 giờ.,01 ngày làm việc.,03 ngày làm việc.,05 ngày làm việc.,C
"Nếu giao dịch đáng ngờ có dấu hiệu liên quan đến tội phạm, thời hạn báo cáo cho cơ quan nhà nước có thẩm quyền và NHNN là bao lâu?",Trong vòng 24 giờ kể từ thời điểm phát hiện.,Trong vòng 01 ngày làm việc.,Trong vòng 03 ngày làm việc.,Khi có yêu cầu bằng văn bản từ cơ quan chức năng.,B
Cơ quan nào là đầu mối tiếp nhận và phân tích báo cáo giao dịch có giá trị lớn và giao dịch đáng ngờ từ các doanh nghiệp bất động sản?,Bộ Xây dựng.,Cơ quan điều tra công an.,"Cục Phòng, chống rửa tiền thuộc NHNN.",Viện kiểm sát nhân dân.,C
"Các doanh nghiệp bất động sản (trừ doanh nghiệp siêu nhỏ) có bắt buộc phải xây dựng quy định nội bộ về phòng, chống rửa tiền không?","Không, chỉ khuyến khích.","Có, bắt buộc phải xây dựng và ban hành.",Chỉ bắt buộc đối với các doanh nghiệp có vốn đầu tư nước ngoài.,Chỉ bắt buộc đối với các sàn giao dịch bất động sản.,B
"Một thách thức tiềm ẩn đối với việc tuân thủ phòng, chống rửa tiền của các nhà môi giới bất động sản là gì?",Thiếu công nghệ hỗ trợ.,Quy định pháp luật quá phức tạp.,Xung đột lợi ích giữa nghĩa vụ báo cáo và hoa hồng giao dịch.,Khó khăn trong việc xác định giá trị bất động sản.,C
Ai chịu trách nhiệm chính trong việc triển khai các biện pháp phòng chống rửa tiền tại một doanh nghiệp Kinh doanh bất động sản?,Nhân viên môi giới.,Khách hàng.,Doanh nghiệp bất động sản.,Ngân hàng Nhà nước,C
Tự đánh giá rủi ro của bản thân.,"Cung cấp thông tin chính xác, đầy đủ.",Báo cáo giao dịch đáng ngờ của chính mình.,Lưu trữ hồ sơ giao dịch.,,A
"Việc đánh giá rủi ro phòng, chống rửa tiền của doanh nghiệp bất động sản cần được cập nhật với tần suất như thế nào?",Định kỳ 05 năm một lần.,Khi có yêu cầu từ ngân hàng nhà nước.,Hàng năm.,Chỉ khi có thay đổi lớn trong hoạt động kinh doanh.,C
Chủ thể nào có thể bị truy cứu trách nhiệm hình sự về Tội rửa tiền theo Điều 324 BLHS 2015 (sửa đổi 2017)?,Chỉ cá nhân từ đủ 18 tuổi trở lên.,Chỉ pháp nhân thương mại.,Cá nhân từ đủ 16 tuổi trở lên và pháp nhân thương mại.,"Chỉ người có chức vụ, quyền hạn trong tổ chức tài chính.",C
"Tiêu chuẩn ""biết hoặc có cơ sở để biết"" trong Tội rửa tiền có thể KHÔNG bao gồm trường hợp nào?",Người phạm tội nguồn thông báo trực tiếp.,Thông tin được đăng tải rộng rãi trên phương tiện thông tin đại chúng.,Suy luận từ việc mua tài sản với giá rẻ bất thường.,Nhận được tài sản từ người thân mà không nghi ngờ gì về nguồn gốc.,D
06 tháng đến 03 năm.,01 năm đến 05 năm.,05 năm đến 10 năm.,10 năm đến 15 năm.,,A
